Code,Name,Polling_Districts
2140,MOSHAWENG MAIN KGOTLA,MOSHAWENG
2141,TENT AT LOWANG MOBILE STOP,MOSHAWENG
2142,TENT AT KOPYE KGOTLA,MOSHAWENG
2143,TENT AT KGORO TSA MOSHOPA,MOSHAWENG
2144,MONWANE PRIMARY SCHOOL,MONWANE-SERINANE
2145,SERINANE PRIMARY SCHOOL,MONWANE-SERINANE
2146,TENT AT BATSETSING VDC HUTS,MONWANE-SERINANE
2147,TENT AT MMAOTHATE VDC HUTS,MONWANE-SERINANE
2148,MATLAGATSE VDC HUTS,MONWANE-SERINANE
2149,TENT AT MONWANE KGOTLA,MONWANE-SERINANE
2150,MALWELWE PRIMARY SCHOOL,MANTSHWABISI-MALWELWE
2151,MALWELWE COMMUNITY HALL  ,MANTSHWABISI-MALWELWE
2152,MARATSWANE SATELLITE SCHOOL,MANTSHWABISI-MALWELWE
2153,MANTSHWABISI PRIMARY SCHOOL  ,MANTSHWABISI-MALWELWE
2154,TENT AT LETLAPENG ,MANTSHWABISI-MALWELWE
2155,BOTLHAPATLOU PRIMARY SCHOOL,BOTLHAPATLOU
2156,BOTLHAPATLOU COMMUNITY HALL ,BOTLHAPATLOU
2157,TENT AT MAPHALLWANE VDC HUTS  ,BOTLHAPATLOU
2158,TENT AT DITLADI MOBILE STOP,BOTLHAPATLOU
2159,TENT AT MMAPHOROKA VDC HUTS,BOTLHAPATLOU
2784,TENT AT MOSELELE CLINIC,BOTLHAPATLOU
2160,TENT AT SORILATHOLO KGOTLA,NGWARE-SORILATHOLO
2161,DIPHUDUHUDU PRIMARY SCHOOL,NGWARE-SORILATHOLO
2162,TENT AT SEITSANTSE MOBILE STOP ,NGWARE-SORILATHOLO
2163,NGWARE PRIMARY SCHOOL,NGWARE-SORILATHOLO
2164,TENT AT DINONYANE BOREHOLE ,NGWARE-SORILATHOLO
2785,TENT AT MARAECHE,NGWARE-SORILATHOLO
2786,TENT AT MOLENGWANE,NGWARE-SORILATHOLO
2165,KHUDUMELAPYE MAIN KGOTLA,KHUDUMELAPYE
2166,KHUDUMELAPYE COMMUNITY HALL,KHUDUMELAPYE
2167,KHUDUMELAPYE PRIMARY SCHOOL,KHUDUMELAPYE
2168,TENT AT KOSIE MOBILE STOP,KHUDUMELAPYE
2169,TENT AT KGESAKWE MOBILE STOP,KHUDUMELAPYE
2170,GOTHIBAMANG PRIMARY SCHOOL,LETLHAKENG NORTH
2171,TENT AT MOLEHELE KGOTLA,LETLHAKENG NORTH
2172,TENT AT SHAGENG KGOTLA,LETLHAKENG NORTH
2173,TENT AT MOTSHOTO KGOTLA,LETLHAKENG NORTH
2174,TENT AT MPOLAAKESWE KGOTLA,LETLHAKENG NORTH
2175,LETLHAKENG MAIN KGOTLA,LETLHAKENG SOUTH
2176,LETLHAKENG PRIMARY SCHOOL,LETLHAKENG SOUTH
2177,MPHUTHE COMMUNITY JUNIOR SECONDARY SCHOOL,LETLHAKENG SOUTH
2178,TENT AT LEGONONONG KGOTLA,LETLHAKENG SOUTH
